"id","year","major_head","estimate_type","major_category","minor_category","sub_category","amount"
0,"2017-2018","020","Actual","Corporation Tax","Collections","None",486113.18
1,"2017-2018","020","Actual","Corporation Tax","Surcharge","None",21439.48
2,"2017-2018","020","Actual","Corporation Tax","Education Cess / Health and Education Cess","None",16305.02
3,"2017-2018","020","Actual","Corporation Tax","Penalties","None",1526.86
4,"2017-2018","020","Actual","Corporation Tax","Interest Recoveries","None",3209.3
5,"2017-2018","020","Actual","Corporation Tax","Tax on Distributed Profits of Domestic Companies","None",41180.67
6,"2017-2018","020","Actual","Corporation Tax","Tax on Distributed Income to Unit Holders","None",879.45
7,"2017-2018","020","Actual","Corporation Tax","Miscellaneous Receipts","None",547.91
8,"2017-2018","021","Actual","Taxes on Income","Collections","None",388197.66
9,"2017-2018","021","Actual","Taxes on Income","Surcharge","None",3172.17
10,"2017-2018","021","Actual","Taxes on Income","Health and Education Cess","None",11869.08
11,"2017-2018","021","Actual","Taxes on Income","Penalties","None",424.93
12,"2017-2018","021","Actual","Taxes on Income","Interest Recoveries","None",4318.02
13,"2017-2018","021","Actual","Taxes on Income","Tax Under Black Money","None",9.94
14,"2017-2018","021","Actual","Taxes on Income","Miscellaneous Receipts","None",99.63
15,"2017-2018","036","Actual","Taxes on Income","Banking Transaction Tax (BCTT)","None",0.01
16,"2017-2018","034","Actual","Taxes on Income","Security Transaction Tax","None",11881.4
17,"2017-2018","023","Actual","Taxes on Income","Hotel Receipts Tax","None",0.5
18,"2017-2018","024","Actual","Taxes on Income","Interest Tax","None",4.45
19,"2017-2018","026","Actual","Taxes on Income","Fringe Benefit Tax","None",-93.29
20,"2017-2018","028","Actual","Taxes on Income","Other Taxes on Income and Expenditure","None",10887.53
21,"2017-2018","031","Actual","Wealth Tax","Estate Duty","None",0.84
22,"2017-2018","032","Actual","Wealth Tax","Taxes on Wealth","None",62.59
23,"2017-2018","037","Actual","Customs","Import Duties","Basic Duties ",80754.66
24,"2017-2018","037","Actual","Customs","Import Duties","Additional Duty on Customs(CVD) ",33488.61
25,"2017-2018","037","Actual","Customs","Import Duties","Special CV Duty ",9603.44
26,"2017-2018","037","Actual","Customs","Import Duties","Additional Duty of Custom on High Speed Diesel Oil ",6.77
27,"2017-2018","037","Actual","Customs","Import Duties","National Calamity Contingent Duty ",576.68
28,"2017-2018","037","Actual","Customs","Import Duties","Education Cess ",2014.2
29,"2017-2018","037","Actual","Customs","Import Duties","Secondary and Higher Education Cess ",984.32
30,"2017-2018","037","Actual","Customs","Import Duties","Social Welfare Surcharge ",1206.99
31,"2017-2018","037","Actual","Customs","Export Duty","Social Welfare Surcharge ",163.72
32,"2017-2018","037","Actual","Customs","Cesses on Exports","Social Welfare Surcharge ",230.53
33,"2017-2018","037","Actual","Customs","Other Receipts","Social Welfare Surcharge ",""
34,"2017-2018","038","Actual","Union Excise Duties","Basic Excise Duties","Social Welfare Surcharge ",116886.22
35,"2017-2018","038","Actual","Union Excise Duties","Additional Duty of Excise on Motor Spirit","Social Welfare Surcharge ",21935.11
36,"2017-2018","038","Actual","Union Excise Duties","Additional Duty of Excise on High Speed Diesel Oil","Social Welfare Surcharge ",61181.31
37,"2017-2018","038","Actual","Union Excise Duties","National Calamity Contingent Duty","Social Welfare Surcharge ",2938.44
38,"2017-2018","038","Actual","Union Excise Duties","Special Additional Duty of Excise on Motor Spirit","Social Welfare Surcharge ",27343.04
39,"2017-2018","038","Actual","Union Excise Duties","Surcharge on Pan Masala and Tobacco Products","Social Welfare Surcharge ",989.7
40,"2017-2018","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Education Cess ",12.89
41,"2017-2018","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Secondary & Higher Education Cess ",5.59
42,"2017-2018","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Crude Oil ",13579.21
43,"2017-2018","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Bidi ",32.6
44,"2017-2018","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Sugar ",793.4
45,"2017-2018","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Automobiles ",96.42
46,"2017-2018","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Others ",48.61
47,"2017-2018","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Clean Environment Cess (Erstwhile-Clean Energy Cess) ",11463.43
48,"2017-2018","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Infrastructure Cess ",903.9
49,"2017-2018","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Duty of Excise on Motor Spirit and High Speed Diesel Oil (Road and Infrastructure Cess) ",""
50,"2017-2018","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Coal & Coke ",323.3
51,"2017-2018","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Rubber ",90.81
52,"2017-2018","045","Actual","Union Excise Duties","Cesses administered by Other Departments","Prevention & Control of ( Air & Water )Pollution ",181.1
53,"2017-2018","045","Actual","Union Excise Duties","Cesses administered by Other Departments","Prevention & Control of ( Air & Water )Pollution Receipts netted against expenditure",-174.82
54,"2017-2018","045","Actual","Union Excise Duties","Cesses administered by Other Departments","Research and Development ",191.41
55,"2017-2018","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Beedi Fund ",11.48
56,"2017-2018","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Cess Collection on Textiles & Textile Machinery ",0.47
57,"2017-2018","044","Actual","Service Tax","Collections","Cess Collection on Textiles & Textile Machinery ",74150.66
58,"2017-2018","044","Actual","Service Tax","Education Cess","Cess Collection on Textiles & Textile Machinery ",34.91
59,"2017-2018","044","Actual","Service Tax","Secondary & Higher Education Cess","Cess Collection on Textiles & Textile Machinery ",19.2
60,"2017-2018","044","Actual","Service Tax","Swachh Bharat Cess","Cess Collection on Textiles & Textile Machinery ",4243.4
61,"2017-2018","044","Actual","Service Tax","Krishi Kalyan Cess","Cess Collection on Textiles & Textile Machinery ",2779.9
62,"2017-2018","040","Actual","Other Taxes and Duties on Commodities and Services","Taxes on Sale, Trade etc.","Cess Collection on Textiles & Textile Machinery ",""
63,"2017-2018","045","Actual","Other Taxes and Duties on Commodities and Services","Other Taxes","Cess Collection on Textiles & Textile Machinery ",597.66
64,"2017-2018","005","Actual","Goods and Services Tax (GST)","Central Goods and Services Tax (CGST)","Cess Collection on Textiles & Textile Machinery ",203261.4
65,"2017-2018","008","Actual","Goods and Services Tax (GST)","Integrated Goods and Services Tax (IGST)","Cess Collection on Textiles & Textile Machinery ",176688.44
66,"2017-2018","009","Actual","Goods and Services Tax (GST)","GST Compensation Cess","Cess Collection on Textiles & Textile Machinery ",62611.59
67,"2017-2018","710","Actual","Taxes of Union Territories","Land Revenue","Cess Collection on Textiles & Textile Machinery ",4.08
68,"2017-2018","710","Actual","Taxes of Union Territories","Stamps and Registration","Cess Collection on Textiles & Textile Machinery ",205.37
69,"2017-2018","710","Actual","Taxes of Union Territories","State Excise Duties","Cess Collection on Textiles & Textile Machinery ",780.0
70,"2017-2018","710","Actual","Taxes of Union Territories","Sales Tax","Cess Collection on Textiles & Textile Machinery ",1706.49
71,"2017-2018","710","Actual","Taxes of Union Territories","Taxes on Vehicles","Cess Collection on Textiles & Textile Machinery ",217.83
72,"2017-2018","710","Actual","Taxes of Union Territories","Taxes on goods and passengers","Cess Collection on Textiles & Textile Machinery ",11.25
73,"2017-2018","710","Actual","Taxes of Union Territories","Taxes and Duties on Electricity","Cess Collection on Textiles & Textile Machinery ",34.41
74,"2017-2018","710","Actual","Taxes of Union Territories","Other Taxes and Duties","Cess Collection on Textiles & Textile Machinery ",126.15
75,"2017-2018","007","Actual","Taxes of Union Territories","Union Territories  Goods and Services Tax (UTGST)","Cess Collection on Textiles & Textile Machinery ",1635.1
76,"2017-2018","037","Actual","Less-NCCD transferred to the National Disaster Response Fund","NCCD (Customs)","Cess Collection on Textiles & Textile Machinery ",-576.68
77,"2017-2018","038","Actual","Less-NCCD transferred to the National Disaster Response Fund","NCCD (Union Excise)","Cess Collection on Textiles & Textile Machinery ",-2938.44
78,"2018-2019","020","Budget","Corporation Tax","Collections","None",527750.39
79,"2018-2019","020","Budget","Corporation Tax","Surcharge","None",63711.15
80,"2018-2019","020","Budget","Corporation Tax","Education Cess / Health and Education Cess","None",29538.46
81,"2018-2019","020","Budget","Corporation Tax","Penalties","None",""
82,"2018-2019","020","Budget","Corporation Tax","Interest Recoveries","None",""
83,"2018-2019","020","Budget","Corporation Tax","Tax on Distributed Profits of Domestic Companies","None",""
84,"2018-2019","020","Budget","Corporation Tax","Tax on Distributed Income to Unit Holders","None",""
85,"2018-2019","020","Budget","Corporation Tax","Miscellaneous Receipts","None",""
86,"2018-2019","021","Budget","Taxes on Income","Collections","None",461182.33
87,"2018-2019","021","Budget","Taxes on Income","Surcharge","None",36894.59
88,"2018-2019","021","Budget","Taxes on Income","Health and Education Cess","None",19923.08
89,"2018-2019","021","Budget","Taxes on Income","Penalties","None",""
90,"2018-2019","021","Budget","Taxes on Income","Interest Recoveries","None",""
91,"2018-2019","021","Budget","Taxes on Income","Tax Under Black Money","None",""
92,"2018-2019","021","Budget","Taxes on Income","Miscellaneous Receipts","None",""
93,"2018-2019","036","Budget","Taxes on Income","Banking Transaction Tax (BCTT)","None",""
94,"2018-2019","034","Budget","Taxes on Income","Security Transaction Tax","None",11000.0
95,"2018-2019","023","Budget","Taxes on Income","Hotel Receipts Tax","None",""
96,"2018-2019","024","Budget","Taxes on Income","Interest Tax","None",""
97,"2018-2019","026","Budget","Taxes on Income","Fringe Benefit Tax","None",""
98,"2018-2019","028","Budget","Taxes on Income","Other Taxes on Income and Expenditure","None",""
99,"2018-2019","031","Budget","Wealth Tax","Estate Duty","None",""
100,"2018-2019","032","Budget","Wealth Tax","Taxes on Wealth","None",""
101,"2018-2019","037","Budget","Customs","Import Duties","Basic Duties ",96300.0
102,"2018-2019","037","Budget","Customs","Import Duties","Additional Duty on Customs(CVD) ",""
103,"2018-2019","037","Budget","Customs","Import Duties","Special CV Duty ",""
104,"2018-2019","037","Budget","Customs","Import Duties","Additional Duty of Custom on High Speed Diesel Oil ",""
105,"2018-2019","037","Budget","Customs","Import Duties","National Calamity Contingent Duty ",750.0
106,"2018-2019","037","Budget","Customs","Import Duties","Education Cess ",""
107,"2018-2019","037","Budget","Customs","Import Duties","Secondary and Higher Education Cess ",""
108,"2018-2019","037","Budget","Customs","Import Duties","Social Welfare Surcharge ",8000.0
109,"2018-2019","037","Budget","Customs","Export Duty","Social Welfare Surcharge ",288.0
110,"2018-2019","037","Budget","Customs","Cesses on Exports","Social Welfare Surcharge ",112.0
111,"2018-2019","037","Budget","Customs","Other Receipts","Social Welfare Surcharge ",7050.0
112,"2018-2019","038","Budget","Union Excise Duties","Basic Excise Duties","Social Welfare Surcharge ",94000.0
113,"2018-2019","038","Budget","Union Excise Duties","Additional Duty of Excise on Motor Spirit","Social Welfare Surcharge ",""
114,"2018-2019","038","Budget","Union Excise Duties","Additional Duty of Excise on High Speed Diesel Oil","Social Welfare Surcharge ",""
115,"2018-2019","038","Budget","Union Excise Duties","National Calamity Contingent Duty","Social Welfare Surcharge ",1750.0
116,"2018-2019","038","Budget","Union Excise Duties","Special Additional Duty of Excise on Motor Spirit","Social Welfare Surcharge ",36000.0
117,"2018-2019","038","Budget","Union Excise Duties","Surcharge on Pan Masala and Tobacco Products","Social Welfare Surcharge ",""
118,"2018-2019","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Education Cess ",""
119,"2018-2019","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Secondary & Higher Education Cess ",""
120,"2018-2019","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Crude Oil ",14850.0
121,"2018-2019","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Bidi ",""
122,"2018-2019","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Sugar ",""
123,"2018-2019","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Automobiles ",""
124,"2018-2019","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Others ",""
125,"2018-2019","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Clean Environment Cess (Erstwhile-Clean Energy Cess) ",""
